ticker,date,close,high,low,open,volume
ADANIENT.NS,2025-11-18,2436.800048828125,2478.60009765625,2434.300048828125,2462.0,1245215
ADANIENT.NS,2025-11-19,2433.10009765625,2449.89990234375,2413.89990234375,2446.5,774785
ADANIENT.NS,2025-11-20,2446.10009765625,2478.89990234375,2440.39990234375,2450.10009765625,1526556
ADANIENT.NS,2025-11-21,2422.300048828125,2456.199951171875,2418.0,2450.0,547541
ADANIENT.NS,2025-11-24,2399.199951171875,2432.300048828125,2393.10009765625,2426.199951171875,691419
ADANIENT.NS,2025-11-25,2332.89990234375,2407.699951171875,2325.300048828125,2400.89990234375,2223715
ADANIENT.NS,2025-11-26,2315.0,2357.0,2310.0,2321.199951171875,1026965
ADANIENT.NS,2025-11-27,2255.0,2320.5,2243.0,2310.0,1474038
ADANIENT.NS,2025-11-28,2280.199951171875,2331.0,2247.800048828125,2267.10009765625,3037620
ADANIENT.NS,2025-12-01,2262.0,2304.0,2257.0,2300.0,1313265
ADANIENT.NS,2025-12-02,2239.60009765625,2267.199951171875,2232.199951171875,2255.0,1035354
ADANIENT.NS,2025-12-03,2189.800048828125,2245.0,2172.199951171875,2240.0,1643852
ADANIENT.NS,2025-12-04,2217.89990234375,2231.699951171875,2183.39990234375,2188.0,2522821
ADANIENT.NS,2025-12-05,2265.39990234375,2268.60009765625,2202.89990234375,2217.89990234375,2400781
ADANIENT.NS,2025-12-08,2216.199951171875,2270.39990234375,2205.0,2265.39990234375,939764
ADANIENT.NS,2025-12-09,2245.199951171875,2257.0,2178.39990234375,2216.199951171875,1227728
ADANIENT.NS,2025-12-10,2211.60009765625,2267.5,2204.10009765625,2255.800048828125,935149
ADANIENT.NS,2025-12-11,2277.699951171875,2293.89990234375,2192.39990234375,2225.0,1519832
ADANIENT.NS,2025-12-12,2282.39990234375,2296.800048828125,2270.199951171875,2277.699951171875,929199
ADANIENT.NS,2025-12-15,2278.89990234375,2300.0,2273.0,2282.39990234375,573027
